label,video_name,frame,CA,SA,KA
ERGONOMIC,ERGO_001.mp4,50,34.7,56.2,89.1
ERGONOMIC,ERGO_001.mp4,51,32.14,56.1,91.77
ERGONOMIC,ERGO_001.mp4,52,33.2,56.76,90.04
ERGONOMIC,ERGO_001.mp4,53,35.6,56.81,87.59
ERGONOMIC,ERGO_001.mp4,54,34.95,56.2,88.85
ERGONOMIC,ERGO_001.mp4,55,33.54,57.29,89.18
ERGONOMIC,ERGO_001.mp4,56,36.98,55.97,87.05
ERGONOMIC,ERGO_001.mp4,57,35.42,57.22,87.37
ERGONOMIC,ERGO_001.mp4,58,42.06,57.33,80.62
ERGONOMIC,ERGO_001.mp4,59,42.02,56.2,81.78
ERGONOMIC,ERGO_001.mp4,60,41.28,55.11,83.62
ERGONOMIC,ERGO_001.mp4,61,39.05,56.25,84.7
ERGONOMIC,ERGO_001.mp4,62,36.67,56.03,87.3
ERGONOMIC,ERGO_001.mp4,63,37.5,54.91,87.59
ERGONOMIC,ERGO_001.mp4,64,41.09,56.25,82.66
ERGONOMIC,ERGO_001.mp4,65,38.19,56.88,84.93
ERGONOMIC,ERGO_001.mp4,66,37.87,57.73,84.39
ERGONOMIC,ERGO_001.mp4,67,41.59,56.77,81.64
ERGONOMIC,ERGO_001.mp4,68,43.67,56.6,79.74
ERGONOMIC,ERGO_001.mp4,69,44.01,56.6,79.4
ERGONOMIC,ERGO_001.mp4,70,44.31,56.37,79.32
ERGONOMIC,ERGO_001.mp4,71,41.38,55.72,82.9
ERGONOMIC,ERGO_001.mp4,72,39.81,54.07,86.12
ERGONOMIC,ERGO_001.mp4,73,38.99,53.71,87.3
ERGONOMIC,ERGO_001.mp4,74,38.99,54.23,86.78
ERGONOMIC,ERGO_001.mp4,75,38.99,54.31,86.7
ERGONOMIC,ERGO_001.mp4,76,40.24,54.51,85.25
ERGONOMIC,ERGO_001.mp4,77,41.78,54.29,83.94
ERGONOMIC,ERGO_001.mp4,78,41.35,53.99,84.66
ERGONOMIC,ERGO_001.mp4,79,41.78,53.56,84.66
ERGONOMIC,ERGO_001.mp4,80,40.6,53.56,85.84
ERGONOMIC,ERGO_001.mp4,81,39.52,53.83,86.65
ERGONOMIC,ERGO_001.mp4,82,38.58,54.41,87.01
ERGONOMIC,ERGO_001.mp4,83,38.58,54.72,86.7
ERGONOMIC,ERGO_001.mp4,84,38.25,54.85,86.91
ERGONOMIC,ERGO_001.mp4,85,38.25,54.7,87.06
ERGONOMIC,ERGO_001.mp4,86,39.33,55.19,85.48
ERGONOMIC,ERGO_001.mp4,87,38.91,54.88,86.21
ERGONOMIC,ERGO_001.mp4,88,39.25,55.43,85.32
ERGONOMIC,ERGO_001.mp4,89,39.6,55.25,85.16
ERGONOMIC,ERGO_001.mp4,90,39.6,55.12,85.28
ERGONOMIC,ERGO_001.mp4,91,40.01,55.43,84.55
ERGONOMIC,ERGO_001.mp4,92,39.81,55.81,84.38
ERGONOMIC,ERGO_001.mp4,93,40.14,55.81,84.04
ERGONOMIC,ERGO_001.mp4,94,40.83,56.31,82.86
ERGONOMIC,ERGO_001.mp4,95,42.61,55.58,81.8
ERGONOMIC,ERGO_001.mp4,96,43.36,55.35,81.29
ERGONOMIC,ERGO_001.mp4,97,43.36,55.41,81.22
ERGONOMIC,ERGO_001.mp4,98,42.2,55.54,82.27
ERGONOMIC,ERGO_001.mp4,99,43.39,55.24,81.38
ERGONOMIC,ERGO_001.mp4,100,46.82,55.54,77.64
ERGONOMIC,ERGO_001.mp4,101,45.36,55.66,78.98
ERGONOMIC,ERGO_001.mp4,102,51.84,54.87,73.29
ERGONOMIC,ERGO_001.mp4,103,49.11,54.92,75.97
ERGONOMIC,ERGO_001.mp4,104,47.97,54.79,77.23
ERGONOMIC,ERGO_001.mp4,105,49.14,53.31,77.55
ERGONOMIC,ERGO_001.mp4,106,44.59,53.44,81.97
ERGONOMIC,ERGO_001.mp4,107,45.0,52.36,82.64
ERGONOMIC,ERGO_001.mp4,108,44.17,52.26,83.57
ERGONOMIC,ERGO_001.mp4,109,43.45,53.86,82.69
ERGONOMIC,ERGO_001.mp4,110,44.26,54.75,80.99
ERGONOMIC,ERGO_001.mp4,111,45.37,54.07,80.55
ERGONOMIC,ERGO_001.mp4,112,46.53,53.44,80.03
ERGONOMIC,ERGO_001.mp4,113,50.6,52.91,76.49
ERGONOMIC,ERGO_001.mp4,114,51.09,52.91,76.0
ERGONOMIC,ERGO_001.mp4,115,50.13,54.25,75.62
ERGONOMIC,ERGO_001.mp4,116,49.67,54.57,75.76
ERGONOMIC,ERGO_001.mp4,117,49.4,53.67,76.93
ERGONOMIC,ERGO_001.mp4,118,48.09,53.04,78.87
ERGONOMIC,ERGO_001.mp4,119,41.73,53.04,85.23
ERGONOMIC,ERGO_001.mp4,120,48.87,53.17,77.96
ERGONOMIC,ERGO_001.mp4,121,51.67,53.4,74.94
ERGONOMIC,ERGO_001.mp4,122,52.62,53.53,73.85
ERGONOMIC,ERGO_001.mp4,123,52.43,54.15,73.42
ERGONOMIC,ERGO_001.mp4,124,52.04,52.7,75.27
ERGONOMIC,ERGO_001.mp4,125,52.72,52.78,74.51
ERGONOMIC,ERGO_001.mp4,126,52.82,52.82,74.36
ERGONOMIC,ERGO_001.mp4,127,52.92,52.82,74.26
ERGONOMIC,ERGO_001.mp4,128,52.17,52.82,75.01
ERGONOMIC,ERGO_001.mp4,129,50.67,52.3,77.03
ERGONOMIC,ERGO_001.mp4,130,50.55,52.35,77.09
ERGONOMIC,ERGO_001.mp4,131,52.57,53.3,74.13
ERGONOMIC,ERGO_001.mp4,132,53.24,53.55,73.21
ERGONOMIC,ERGO_001.mp4,133,54.01,53.26,72.73
ERGONOMIC,ERGO_001.mp4,134,51.69,53.52,74.8
ERGONOMIC,ERGO_001.mp4,135,54.4,52.66,72.95
ERGONOMIC,ERGO_001.mp4,136,58.36,52.3,69.35
ERGONOMIC,ERGO_001.mp4,137,60.26,51.2,68.54
ERGONOMIC,ERGO_001.mp4,138,47.09,52.48,80.43
ERGONOMIC,ERGO_001.mp4,139,38.16,51.58,90.27
ERGONOMIC,ERGO_001.mp4,140,45.0,52.09,82.91
ERGONOMIC,ERGO_001.mp4,141,47.96,52.74,79.3
ERGONOMIC,ERGO_001.mp4,142,48.95,52.74,78.32
ERGONOMIC,ERGO_001.mp4,143,40.43,55.24,84.34
ERGONOMIC,ERGO_001.mp4,144,43.03,55.24,81.74
ERGONOMIC,ERGO_001.mp4,145,37.22,55.77,87.01
ERGONOMIC,ERGO_001.mp4,146,27.35,56.25,96.4
ERGONOMIC,ERGO_001.mp4,147,53.13,55.35,71.52
ERGONOMIC,ERGO_001.mp4,148,63.69,52.83,63.48
ERGONOMIC,ERGO_001.mp4,149,50.93,55.54,73.53
ERGONOMIC,ERGO_001.mp4,150,49.34,55.51,75.14
ERGONOMIC,ERGO_001.mp4,151,42.45,54.95,82.6
ERGONOMIC,ERGO_001.mp4,152,45.7,54.13,80.17
ERGONOMIC,ERGO_001.mp4,153,35.54,52.78,91.68
ERGONOMIC,ERGO_001.mp4,154,35.48,53.04,91.48
ERGONOMIC,ERGO_001.mp4,155,37.07,53.43,89.49
ERGONOMIC,ERGO_001.mp4,156,35.48,53.6,90.93
ERGONOMIC,ERGO_001.mp4,157,38.99,54.31,86.69
ERGONOMIC,ERGO_001.mp4,158,36.66,54.15,89.19
ERGONOMIC,ERGO_001.mp4,159,39.07,54.86,86.07
ERGONOMIC,ERGO_001.mp4,160,18.94,54.09,106.97
ERGONOMIC,ERGO_001.mp4,161,37.52,50.14,92.34
ERGONOMIC,ERGO_001.mp4,162,45.0,49.24,85.76
ERGONOMIC,ERGO_001.mp4,163,56.94,49.98,73.08
ERGONOMIC,ERGO_001.mp4,164,56.31,50.11,73.58
ERGONOMIC,ERGO_001.mp4,165,58.24,50.52,71.24
ERGONOMIC,ERGO_001.mp4,166,63.03,48.85,68.11
ERGONOMIC,ERGO_001.mp4,167,63.07,52.22,64.71
ERGONOMIC,ERGO_001.mp4,168,67.01,51.17,61.82
ERGONOMIC,ERGO_001.mp4,169,61.28,54.0,64.72
ERGONOMIC,ERGO_001.mp4,170,57.62,54.1,68.28
ERGONOMIC,ERGO_001.mp4,171,51.69,54.44,73.88
ERGONOMIC,ERGO_001.mp4,172,51.17,54.39,74.44
ERGONOMIC,ERGO_001.mp4,173,52.17,54.51,73.32
ERGONOMIC,ERGO_001.mp4,174,50.93,54.46,74.61
ERGONOMIC,ERGO_001.mp4,175,49.4,54.16,76.44
ERGONOMIC,ERGO_001.mp4,176,48.67,54.97,76.36
ERGONOMIC,ERGO_001.mp4,177,49.79,54.67,75.54
ERGONOMIC,ERGO_001.mp4,178,52.17,54.05,73.77
ERGONOMIC,ERGO_001.mp4,179,54.01,53.57,72.42
ERGONOMIC,ERGO_001.mp4,180,56.15,53.22,70.63
ERGONOMIC,ERGO_001.mp4,181,63.77,48.75,67.48
ERGONOMIC,ERGO_001.mp4,182,56.92,50.08,73.0
ERGONOMIC,ERGO_001.mp4,183,56.92,49.8,73.28
ERGONOMIC,ERGO_001.mp4,184,56.89,50.14,72.97
ERGONOMIC,ERGO_001.mp4,185,46.82,52.18,81.0
ERGONOMIC,ERGO_001.mp4,186,48.15,52.5,79.35
ERGONOMIC,ERGO_001.mp4,187,47.6,53.5,78.9
ERGONOMIC,ERGO_001.mp4,188,48.99,52.84,78.17
ERGONOMIC,ERGO_001.mp4,189,48.06,53.13,78.81
ERGONOMIC,ERGO_001.mp4,190,48.81,53.37,77.81
ERGONOMIC,ERGO_001.mp4,191,47.49,53.37,79.14
ERGONOMIC,ERGO_001.mp4,192,34.8,53.29,91.9
ERGONOMIC,ERGO_001.mp4,193,31.83,53.5,94.67
ERGONOMIC,ERGO_001.mp4,194,29.21,53.67,97.12
ERGONOMIC,ERGO_001.mp4,195,16.22,54.32,109.46
ERGONOMIC,ERGO_001.mp4,196,8.56,53.33,118.11
ERGONOMIC,ERGO_001.mp4,197,24.78,53.25,101.97
ERGONOMIC,ERGO_001.mp4,198,45.8,52.92,81.28
ERGONOMIC,ERGO_001.mp4,199,50.48,52.84,76.68
ERGONOMIC,ERGO_002.mp4,0,49.74,53.32,76.94
ERGONOMIC,ERGO_002.mp4,1,50.71,51.18,78.11
ERGONOMIC,ERGO_002.mp4,2,49.94,50.13,79.94
ERGONOMIC,ERGO_002.mp4,3,48.67,50.53,80.8
ERGONOMIC,ERGO_002.mp4,4,41.92,53.32,84.76
ERGONOMIC,ERGO_002.mp4,5,44.29,52.31,83.39
ERGONOMIC,ERGO_002.mp4,6,39.87,52.3,87.83
ERGONOMIC,ERGO_002.mp4,7,39.68,52.0,88.33
ERGONOMIC,ERGO_002.mp4,8,38.66,50.49,90.85
ERGONOMIC,ERGO_002.mp4,9,39.05,50.98,89.97
ERGONOMIC,ERGO_002.mp4,10,47.37,50.88,81.75
ERGONOMIC,ERGO_002.mp4,11,49.51,49.27,81.22
ERGONOMIC,ERGO_002.mp4,12,53.13,48.52,78.35
ERGONOMIC,ERGO_002.mp4,13,55.86,49.3,74.85
ERGONOMIC,ERGO_002.mp4,14,57.04,50.22,72.73
ERGONOMIC,ERGO_002.mp4,15,59.12,50.19,70.68
ERGONOMIC,ERGO_002.mp4,16,57.89,49.68,72.43
ERGONOMIC,ERGO_002.mp4,17,57.45,49.09,73.46
ERGONOMIC,ERGO_002.mp4,18,57.33,48.12,74.55
ERGONOMIC,ERGO_002.mp4,19,55.49,48.21,76.3
ERGONOMIC,ERGO_002.mp4,20,54.18,47.21,78.61
ERGONOMIC,ERGO_002.mp4,21,52.68,46.94,80.38
ERGONOMIC,ERGO_002.mp4,22,53.67,47.1,79.23
ERGONOMIC,ERGO_002.mp4,23,55.66,43.88,80.46
ERGONOMIC,ERGO_002.mp4,24,58.39,44.07,77.53
ERGONOMIC,ERGO_002.mp4,26,68.25,98.82,149.43
ERGONOMIC,ERGO_002.mp4,27,71.15,98.11,153.04
ERGONOMIC,ERGO_002.mp4,28,71.15,98.18,152.97
ERGONOMIC,ERGO_002.mp4,29,72.15,97.73,154.42
ERGONOMIC,ERGO_002.mp4,30,71.9,97.54,154.36
ERGONOMIC,ERGO_002.mp4,31,80.23,95.11,165.11
ERGONOMIC,ERGO_002.mp4,32,85.91,94.67,171.24
ERGONOMIC,ERGO_002.mp4,33,83.24,95.53,167.71
ERGONOMIC,ERGO_002.mp4,34,86.44,94.88,171.56
ERGONOMIC,ERGO_002.mp4,35,70.02,97.13,152.89
ERGONOMIC,ERGO_002.mp4,36,88.62,92.78,175.84
ERGONOMIC,ERGO_002.mp4,37,85.84,92.03,173.8
ERGONOMIC,ERGO_003.mp4,0,67.09,96.1,150.99
ERGONOMIC,ERGO_003.mp4,1,66.83,96.9,149.94
ERGONOMIC,ERGO_003.mp4,2,66.9,98.04,148.86
ERGONOMIC,ERGO_003.mp4,3,66.48,97.96,148.52
ERGONOMIC,ERGO_003.mp4,4,66.24,95.76,150.48
ERGONOMIC,ERGO_003.mp4,5,66.24,96.6,149.64
ERGONOMIC,ERGO_003.mp4,6,66.63,96.84,149.8
ERGONOMIC,ERGO_003.mp4,7,67.2,96.84,150.37
ERGONOMIC,ERGO_003.mp4,8,67.54,96.96,150.58
ERGONOMIC,ERGO_003.mp4,9,67.0,96.92,150.08
ERGONOMIC,ERGO_003.mp4,10,67.17,97.33,149.84
ERGONOMIC,ERGO_003.mp4,11,68.2,97.49,150.71
ERGONOMIC,ERGO_003.mp4,12,68.15,97.51,150.64
ERGONOMIC,ERGO_003.mp4,13,68.38,97.39,150.99
ERGONOMIC,ERGO_003.mp4,14,68.2,97.67,150.52
ERGONOMIC,ERGO_003.mp4,15,68.2,97.67,150.52
ERGONOMIC,ERGO_003.mp4,16,68.34,97.58,150.76
ERGONOMIC,ERGO_003.mp4,17,68.34,97.73,150.61
ERGONOMIC,ERGO_003.mp4,18,68.43,98.28,150.15
ERGONOMIC,ERGO_003.mp4,19,68.34,98.66,149.67
ERGONOMIC,ERGO_003.mp4,20,68.8,98.68,150.12
ERGONOMIC,ERGO_003.mp4,21,68.8,98.7,150.1
ERGONOMIC,ERGO_003.mp4,22,68.8,98.7,150.1
ERGONOMIC,ERGO_003.mp4,23,68.71,98.57,150.14
ERGONOMIC,ERGO_003.mp4,24,68.71,98.74,149.97
ERGONOMIC,ERGO_003.mp4,25,68.71,98.6,150.11
ERGONOMIC,ERGO_003.mp4,26,69.89,98.05,151.84
ERGONOMIC,ERGO_003.mp4,27,70.6,97.64,152.96
ERGONOMIC,ERGO_003.mp4,28,70.84,97.5,153.34
ERGONOMIC,ERGO_003.mp4,29,70.84,97.21,153.63
ERGONOMIC,ERGO_003.mp4,30,71.0,96.8,154.2
ERGONOMIC,ERGO_003.mp4,31,71.0,96.81,154.19
ERGONOMIC,ERGO_003.mp4,32,71.0,97.01,153.99
ERGONOMIC,ERGO_003.mp4,33,71.48,96.77,154.72
ERGONOMIC,ERGO_003.mp4,34,72.05,96.49,155.56
ERGONOMIC,ERGO_003.mp4,35,72.62,96.26,156.36
ERGONOMIC,ERGO_003.mp4,36,71.97,96.2,155.77
ERGONOMIC,ERGO_003.mp4,37,71.89,96.2,155.69
ERGONOMIC,ERGO_003.mp4,38,70.91,96.16,154.75
ERGONOMIC,ERGO_003.mp4,39,70.18,96.05,154.13
ERGONOMIC,ERGO_003.mp4,40,68.76,96.24,152.52
ERGONOMIC,ERGO_003.mp4,41,69.06,96.18,152.88
ERGONOMIC,ERGO_003.mp4,42,68.55,96.16,152.39
ERGONOMIC,ERGO_003.mp4,43,68.5,96.03,152.47
ERGONOMIC,ERGO_003.mp4,44,68.25,96.03,152.22
ERGONOMIC,ERGO_003.mp4,45,68.35,95.74,152.61
ERGONOMIC,ERGO_003.mp4,46,68.64,95.62,153.02
ERGONOMIC,ERGO_003.mp4,47,69.41,95.18,154.23
ERGONOMIC,ERGO_003.mp4,48,69.84,95.37,154.47
ERGONOMIC,ERGO_003.mp4,49,69.93,95.6,154.33
ERGONOMIC,ERGO_003.mp4,50,70.17,95.48,154.69
ERGONOMIC,ERGO_003.mp4,51,70.24,95.34,154.9
ERGONOMIC,ERGO_003.mp4,52,70.42,95.27,155.15
ERGONOMIC,ERGO_003.mp4,53,69.84,95.28,154.56
ERGONOMIC,ERGO_003.mp4,54,69.9,95.0,154.91
ERGONOMIC,ERGO_003.mp4,55,69.72,94.99,154.74
ERGONOMIC,ERGO_003.mp4,56,69.54,95.03,154.5
ERGONOMIC,ERGO_003.mp4,57,69.04,95.18,153.86
ERGONOMIC,ERGO_003.mp4,58,68.69,95.32,153.38
ERGONOMIC,ERGO_003.mp4,59,68.35,95.39,152.95
ERGONOMIC,ERGO_003.mp4,60,68.1,95.41,152.69
ERGONOMIC,ERGO_003.mp4,61,68.2,95.41,152.79
ERGONOMIC,ERGO_003.mp4,62,68.45,95.26,153.19
ERGONOMIC,ERGO_003.mp4,63,68.2,95.38,152.82
ERGONOMIC,ERGO_003.mp4,64,68.2,95.68,152.52
ERGONOMIC,ERGO_003.mp4,65,68.05,95.64,152.41
ERGONOMIC,ERGO_003.mp4,66,68.3,95.43,152.87
ERGONOMIC,ERGO_003.mp4,67,69.13,95.7,153.44
ERGONOMIC,ERGO_003.mp4,68,69.47,95.82,153.65
ERGONOMIC,ERGO_003.mp4,69,69.72,95.82,153.9
ERGONOMIC,ERGO_003.mp4,70,69.81,95.78,154.03
ERGONOMIC,ERGO_003.mp4,71,70.08,95.63,154.46
ERGONOMIC,ERGO_003.mp4,72,70.59,95.64,154.95
ERGONOMIC,ERGO_003.mp4,73,70.43,95.67,154.76
ERGONOMIC,ERGO_003.mp4,74,70.43,95.81,154.63
ERGONOMIC,ERGO_003.mp4,75,70.92,95.72,155.19
ERGONOMIC,ERGO_003.mp4,76,71.24,95.78,155.46
ERGONOMIC,ERGO_003.mp4,77,71.4,95.79,155.61
ERGONOMIC,ERGO_004.mp4,0,64.92,94.85,150.06
ERGONOMIC,ERGO_004.mp4,1,61.72,97.43,144.29
ERGONOMIC,ERGO_004.mp4,2,63.56,95.39,148.18
ERGONOMIC,ERGO_004.mp4,3,64.46,96.06,148.41
ERGONOMIC,ERGO_004.mp4,4,64.33,96.1,148.22
ERGONOMIC,ERGO_004.mp4,5,64.07,91.56,152.51
ERGONOMIC,ERGO_004.mp4,6,62.4,91.73,150.68
ERGONOMIC,ERGO_004.mp4,7,62.16,93.75,148.41
ERGONOMIC,ERGO_004.mp4,8,62.41,94.9,147.51
ERGONOMIC,ERGO_004.mp4,9,62.04,96.67,145.38
ERGONOMIC,ERGO_004.mp4,10,61.93,96.96,144.97
ERGONOMIC,ERGO_004.mp4,11,61.43,96.96,144.47
ERGONOMIC,ERGO_004.mp4,12,61.05,97.07,143.98
ERGONOMIC,ERGO_004.mp4,13,60.81,97.34,143.47
ERGONOMIC,ERGO_004.mp4,14,61.3,97.47,143.83
ERGONOMIC,ERGO_004.mp4,15,61.93,97.63,144.29
ERGONOMIC,ERGO_004.mp4,16,61.93,97.61,144.31
ERGONOMIC,ERGO_004.mp4,17,62.31,97.54,144.77
ERGONOMIC,ERGO_004.mp4,18,62.44,97.6,144.83
ERGONOMIC,ERGO_004.mp4,19,62.32,97.53,144.79
ERGONOMIC,ERGO_004.mp4,20,62.19,97.53,144.66
ERGONOMIC,ERGO_004.mp4,21,62.45,97.58,144.87
ERGONOMIC,ERGO_004.mp4,22,62.32,97.58,144.74
ERGONOMIC,ERGO_004.mp4,23,62.32,97.73,144.59
ERGONOMIC,ERGO_004.mp4,24,63.07,97.54,145.53
ERGONOMIC,ERGO_004.mp4,25,62.83,97.57,145.26
ERGONOMIC,ERGO_004.mp4,26,62.94,97.62,145.32
ERGONOMIC,ERGO_004.mp4,27,62.94,97.64,145.3
ERGONOMIC,ERGO_004.mp4,28,62.33,97.77,144.57
ERGONOMIC,ERGO_004.mp4,29,62.33,97.72,144.61
ERGONOMIC,ERGO_004.mp4,30,62.2,97.82,144.38
ERGONOMIC,ERGO_004.mp4,31,62.2,97.94,144.26
ERGONOMIC,ERGO_004.mp4,32,62.45,98.25,144.19
ERGONOMIC,ERGO_004.mp4,33,62.45,98.09,144.36
ERGONOMIC,ERGO_004.mp4,34,62.57,98.07,144.5
ERGONOMIC,ERGO_004.mp4,35,62.57,98.23,144.33
ERGONOMIC,ERGO_004.mp4,36,62.57,98.23,144.33
ERGONOMIC,ERGO_004.mp4,37,62.57,98.23,144.33
ERGONOMIC,ERGO_004.mp4,38,62.81,98.4,144.41
ERGONOMIC,ERGO_004.mp4,39,62.81,98.4,144.41
ERGONOMIC,ERGO_004.mp4,40,63.31,98.4,144.91
ERGONOMIC,ERGO_004.mp4,41,63.43,98.42,145.01
ERGONOMIC,ERGO_004.mp4,42,63.06,98.28,144.78
ERGONOMIC,ERGO_004.mp4,43,62.93,98.11,144.82
ERGONOMIC,ERGO_004.mp4,44,62.93,97.96,144.97
ERGONOMIC,ERGO_004.mp4,45,62.43,97.98,144.44
ERGONOMIC,ERGO_004.mp4,46,62.43,98.09,144.34
ERGONOMIC,ERGO_004.mp4,47,62.18,98.03,144.15
ERGONOMIC,ERGO_004.mp4,48,61.93,97.84,144.08
ERGONOMIC,ERGO_004.mp4,49,61.43,97.99,143.45
ERGONOMIC,ERGO_004.mp4,50,61.43,97.99,143.45
ERGONOMIC,ERGO_004.mp4,51,61.3,97.99,143.31
ERGONOMIC,ERGO_004.mp4,52,61.3,97.84,143.46
ERGONOMIC,ERGO_004.mp4,53,61.3,97.84,143.46
ERGONOMIC,ERGO_004.mp4,54,61.05,97.78,143.27
ERGONOMIC,ERGO_004.mp4,55,60.67,97.77,142.91
ERGONOMIC,ERGO_004.mp4,56,60.53,97.6,142.93
ERGONOMIC,ERGO_004.mp4,57,60.53,97.6,142.93
ERGONOMIC,ERGO_004.mp4,58,60.4,97.44,142.95
ERGONOMIC,ERGO_004.mp4,59,60.15,97.02,143.13
ERGONOMIC,ERGO_004.mp4,60,60.43,95.48,144.95
ERGONOMIC,ERGO_004.mp4,61,60.32,95.23,145.09
ERGONOMIC,ERGO_004.mp4,62,60.36,94.99,145.37
ERGONOMIC,ERGO_004.mp4,63,60.89,95.87,145.03
ERGONOMIC,ERGO_004.mp4,64,61.02,96.15,144.87
ERGONOMIC,ERGO_004.mp4,65,61.02,96.73,144.29
ERGONOMIC,ERGO_004.mp4,66,61.39,96.77,144.62
ERGONOMIC,ERGO_004.mp4,67,61.39,96.93,144.46
ERGONOMIC,ERGO_004.mp4,68,60.63,96.84,143.79
ERGONOMIC,ERGO_004.mp4,69,60.36,96.42,143.94
ERGONOMIC,ERGO_005.mp4,0,83.57,100.6,162.97
ERGONOMIC,ERGO_005.mp4,1,86.07,103.83,162.24
ERGONOMIC,ERGO_005.mp4,2,76.29,104.41,151.88
ERGONOMIC,ERGO_005.mp4,3,79.46,105.57,153.89
ERGONOMIC,ERGO_005.mp4,4,88.11,106.35,161.76
ERGONOMIC,ERGO_005.mp4,5,82.34,106.55,155.78
ERGONOMIC,ERGO_005.mp4,6,79.24,106.66,152.58
ERGONOMIC,ERGO_005.mp4,7,80.45,105.62,154.84
ERGONOMIC,ERGO_005.mp4,8,80.58,105.78,154.81
ERGONOMIC,ERGO_005.mp4,9,80.49,105.27,155.22
ERGONOMIC,ERGO_005.mp4,10,81.25,105.35,155.9
ERGONOMIC,ERGO_005.mp4,11,76.66,105.69,150.97
ERGONOMIC,ERGO_005.mp4,12,80.82,105.06,155.76
ERGONOMIC,ERGO_005.mp4,13,86.21,104.9,161.3
ERGONOMIC,ERGO_005.mp4,14,83.95,104.57,159.37
ERGONOMIC,ERGO_005.mp4,15,82.84,103.91,158.93
ERGONOMIC,ERGO_005.mp4,16,83.22,103.96,159.26
ERGONOMIC,ERGO_005.mp4,17,82.7,103.91,158.79
ERGONOMIC,ERGO_005.mp4,18,83.54,103.78,159.76
ERGONOMIC,ERGO_005.mp4,19,83.81,103.7,160.11
ERGONOMIC,ERGO_005.mp4,20,84.37,103.7,160.67
ERGONOMIC,ERGO_005.mp4,21,85.47,103.8,161.67
ERGONOMIC,ERGO_005.mp4,22,86.6,103.91,162.69
ERGONOMIC,ERGO_005.mp4,23,86.88,104.14,162.74
ERGONOMIC,ERGO_005.mp4,24,86.58,104.01,162.57
